VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBS        FBS_BCL FBS_BCU FSS        FSS_BCL FSS_BCU AFSS    AFSS_BCL AFSS_BCU UFSS    UFSS_BCL UFSS_BCU F_RATE     F_RATE_BCL F_RATE_BCU O_RATE     O_RATE_BCL O_RATE_BCU
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >0.1        >0.1       NA         0.05  NBRCNT    20726 0.22046         NA      NA 0.78987         NA      NA 0.91086       NA       NA 0.73504       NA       NA 0.72908            NA         NA 0.47009            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >1.0        >1.0       NA         0.1   NBRCNT    48576 0.17781         NA      NA 0.7807          NA      NA 0.95503       NA       NA 0.70183       NA       NA 0.54799            NA         NA 0.40366            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >1.0        >1.0       NA         0.05  NBRCNT    48576 0.17781         NA      NA 0.7807          NA      NA 0.95503       NA       NA 0.70183       NA       NA 0.54799            NA         NA 0.40366            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >1.0        >1.0       NA         0.1   NBRCNT    20726 0.18771         NA      NA 0.73221         NA      NA 0.88356       NA       NA 0.66043       NA       NA 0.5332             NA         NA 0.32085            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >1.0        >1.0       NA         0.05  NBRCNT    20726 0.18771         NA      NA 0.73221         NA      NA 0.88356       NA       NA 0.66043       NA       NA 0.5332             NA         NA 0.32085            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >5.0        >5.0       NA         0.1   NBRCNT    48576 0.14091         NA      NA 0.64729         NA      NA 0.95557       NA       NA 0.61028       NA       NA 0.29885            NA         NA 0.22056            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >5.0        >5.0       NA         0.05  NBRCNT    48576 0.14091         NA      NA 0.64729         NA      NA 0.95557       NA       NA 0.61028       NA       NA 0.29885            NA         NA 0.22056            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >5.0        >5.0       NA         0.1   NBRCNT    20726 0.12951         NA      NA 0.6017          NA      NA 0.855         NA       NA 0.57932       NA       NA 0.28177            NA         NA 0.15864            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >5.0        >5.0       NA         0.05  NBRCNT    20726 0.12951         NA      NA 0.6017          NA      NA 0.855         NA       NA 0.57932       NA       NA 0.28177            NA         NA 0.15864            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >10.0       >10.0      NA         0.1   NBRCNT    48576 0.095514        NA      NA 0.58067         NA      NA 0.98286       NA       NA 0.57059       NA       NA 0.17013            NA         NA 0.14118            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >10.0       >10.0      NA         0.05  NBRCNT    48576 0.095514        NA      NA 0.58067         NA      NA 0.98286       NA       NA 0.57059       NA       NA 0.17013            NA         NA 0.14118            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >10.0       >10.0      NA         0.1   NBRCNT    20726 0.089476        NA      NA 0.45476         NA      NA 0.87827       NA       NA 0.54613       NA       NA 0.15526            NA         NA 0.092251           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >10.0       >10.0      NA         0.05  NBRCNT    20726 0.089476        NA      NA 0.45476         NA      NA 0.87827       NA       NA 0.54613       NA       NA 0.15526            NA         NA 0.092251           NA         NA
